Nama Provinsi,Nama Kabupaten Kota,Kelompok Umur,Jenis Kelamin,Jumlah Kasus,Tahun
JAWA BARAT,KABUPATEN BOGOR,0-4,LAKI-LAKI,4,2019
JAWA BARAT,KABUPATEN BOGOR,0-4,PEREMPUAN,7,2019
JAWA BARAT,KABUPATEN BOGOR,5-14,LAKI-LAKI,3,2019
JAWA BARAT,KABUPATEN BOGOR,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN BOGOR,15-19,LAKI-LAKI,8,2019
JAWA BARAT,KABUPATEN BOGOR,15-19,PEREMPUAN,5,2019
JAWA BARAT,KABUPATEN BOGOR,20-24,LAKI-LAKI,48,2019
JAWA BARAT,KABUPATEN BOGOR,20-24,PEREMPUAN,21,2019
JAWA BARAT,KABUPATEN BOGOR,25-49,LAKI-LAKI,217,2019
JAWA BARAT,KABUPATEN BOGOR,25-49,PEREMPUAN,133,2019
JAWA BARAT,KABUPATEN BOGOR,≥50,LAKI-LAKI,16,2019
JAWA BARAT,KABUPATEN BOGOR,≥50,PEREMPUAN,13,2019
JAWA BARAT,KABUPATEN SUKABUMI,0-4,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN SUKABUMI,0-4,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUKABUMI,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN SUKABUMI,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUKABUMI,15-19,LAKI-LAKI,4,2019
JAWA BARAT,KABUPATEN SUKABUMI,15-19,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN SUKABUMI,20-24,LAKI-LAKI,20,2019
JAWA BARAT,KABUPATEN SUKABUMI,20-24,PEREMPUAN,11,2019
JAWA BARAT,KABUPATEN SUKABUMI,25-49,LAKI-LAKI,50,2019
JAWA BARAT,KABUPATEN SUKABUMI,25-49,PEREMPUAN,19,2019
JAWA BARAT,KABUPATEN SUKABUMI,≥50,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN SUKABUMI,≥50,PEREMPUAN,1,2019
